S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
208,AQM Budhanilkantha,53,38.31,2018-11-29 12:52:02 ( Asia/Katmandu)
209,AQM Budhanilkantha,52,37.6,2018-11-29 12:42:02 ( Asia/Katmandu)
210,AQM Budhanilkantha,59,42.53,2018-11-29 12:32:02 ( Asia/Katmandu)
211,AQM Budhanilkantha,58,41.83,2018-11-29 12:22:02 ( Asia/Katmandu)
212,AQM Budhanilkantha,65,46.76,2018-11-29 12:12:02 ( Asia/Katmandu)
213,AQM Budhanilkantha,65,46.76,2018-11-29 12:02:02 ( Asia/Katmandu)
214,AQM Budhanilkantha,68,48.87,2018-11-29 11:52:02 ( Asia/Katmandu)
215,AQM Budhanilkantha,63,45.35,2018-11-29 11:42:02 ( Asia/Katmandu)
216,AQM Budhanilkantha,67,48.17,2018-11-29 11:32:02 ( Asia/Katmandu)
217,AQM Budhanilkantha,76,54.5,2018-11-29 11:22:02 ( Asia/Katmandu)
218,AQM Budhanilkantha,94,67.18,2018-11-29 11:12:02 ( Asia/Katmandu)
219,AQM Budhanilkantha,78,55.91,2018-11-29 11:02:02 ( Asia/Katmandu)
220,AQM Budhanilkantha,90,64.36,2018-11-29 10:52:04 ( Asia/Katmandu)
221,AQM Budhanilkantha,81,58.03,2018-11-29 10:42:02 ( Asia/Katmandu)
222,AQM Budhanilkantha,86,61.55,2018-11-29 10:32:02 ( Asia/Katmandu)
223,AQM Budhanilkantha,97,69.29,2018-11-29 10:22:02 ( Asia/Katmandu)
224,AQM Budhanilkantha,95,67.88,2018-11-29 10:12:02 ( Asia/Katmandu)
225,AQM Budhanilkantha,108,77.04,2018-11-29 10:02:02 ( Asia/Katmandu)
226,AQM Budhanilkantha,116,82.67,2018-11-29 09:52:02 ( Asia/Katmandu)
227,AQM Budhanilkantha,136,96.76,2018-11-29 09:42:02 ( Asia/Katmandu)
228,AQM Budhanilkantha,133,94.64,2018-11-29 09:32:02 ( Asia/Katmandu)
229,AQM Budhanilkantha,119,84.78,2018-11-29 09:22:02 ( Asia/Katmandu)
230,AQM Budhanilkantha,127,90.42,2018-11-29 09:12:02 ( Asia/Katmandu)
231,AQM Budhanilkantha,113,80.56,2018-11-29 09:02:02 ( Asia/Katmandu)
232,AQM Budhanilkantha,122,86.9,2018-11-29 08:52:02 ( Asia/Katmandu)
233,AQM Budhanilkantha,145,103.09,2018-11-29 08:42:02 ( Asia/Katmandu)
234,AQM Budhanilkantha,131,93.23,2018-11-29 08:32:02 ( Asia/Katmandu)
235,AQM Budhanilkantha,128,91.12,2018-11-29 08:22:02 ( Asia/Katmandu)
236,AQM Budhanilkantha,101,72.11,2018-11-29 08:12:02 ( Asia/Katmandu)
237,AQM Budhanilkantha,102,72.81,2018-11-29 08:02:02 ( Asia/Katmandu)
238,AQM Budhanilkantha,78,55.91,2018-11-29 07:52:02 ( Asia/Katmandu)
239,AQM Budhanilkantha,82,58.73,2018-11-29 07:42:02 ( Asia/Katmandu)
240,AQM Budhanilkantha,73,52.39,2018-11-29 07:32:02 ( Asia/Katmandu)
241,AQM Budhanilkantha,64,46.05,2018-11-29 07:22:02 ( Asia/Katmandu)
242,AQM Budhanilkantha,62,44.65,2018-11-29 07:12:02 ( Asia/Katmandu)
243,AQM Budhanilkantha,68,48.87,2018-11-29 07:02:02 ( Asia/Katmandu)
244,AQM Budhanilkantha,66,47.46,2018-11-29 06:52:02 ( Asia/Katmandu)
245,AQM Budhanilkantha,77,55.21,2018-11-29 06:42:02 ( Asia/Katmandu)
246,AQM Budhanilkantha,73,52.39,2018-11-29 06:32:02 ( Asia/Katmandu)
247,AQM Budhanilkantha,73,52.39,2018-11-29 06:22:02 ( Asia/Katmandu)
248,AQM Budhanilkantha,73,52.39,2018-11-29 06:12:02 ( Asia/Katmandu)
249,AQM Budhanilkantha,69,49.58,2018-11-29 06:02:02 ( Asia/Katmandu)
250,AQM Budhanilkantha,68,48.87,2018-11-29 05:52:02 ( Asia/Katmandu)
251,AQM Budhanilkantha,69,49.58,2018-11-29 05:42:02 ( Asia/Katmandu)
252,AQM Budhanilkantha,68,48.87,2018-11-29 05:32:02 ( Asia/Katmandu)
253,AQM Budhanilkantha,69,49.58,2018-11-29 05:22:02 ( Asia/Katmandu)
254,AQM Budhanilkantha,69,49.58,2018-11-29 05:12:02 ( Asia/Katmandu)
255,AQM Budhanilkantha,64,46.05,2018-11-29 05:02:03 ( Asia/Katmandu)
256,AQM Budhanilkantha,53,38.31,2018-11-29 04:52:03 ( Asia/Katmandu)
257,AQM Budhanilkantha,52,37.6,2018-11-29 04:42:03 ( Asia/Katmandu)
258,AQM Budhanilkantha,48,34.79,2018-11-29 04:32:03 ( Asia/Katmandu)
259,AQM Budhanilkantha,52,37.6,2018-11-29 04:22:03 ( Asia/Katmandu)
260,AQM Budhanilkantha,55,39.72,2018-11-29 04:12:03 ( Asia/Katmandu)
261,AQM Budhanilkantha,47,34.08,2018-11-29 04:02:03 ( Asia/Katmandu)
262,AQM Budhanilkantha,44,31.97,2018-11-29 03:52:03 ( Asia/Katmandu)
263,AQM Budhanilkantha,44,31.97,2018-11-29 03:42:03 ( Asia/Katmandu)
