S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
94,AQM Putalisadak,137,93.24,2018-11-30 08:05:04 ( Asia/Katmandu)
95,AQM Putalisadak,135,91.9,2018-11-30 07:55:04 ( Asia/Katmandu)
96,AQM Putalisadak,123,83.85,2018-11-30 07:44:03 ( Asia/Katmandu)
97,AQM Putalisadak,119,81.17,2018-11-30 07:35:33 ( Asia/Katmandu)
98,AQM Putalisadak,114,77.82,2018-11-30 07:24:05 ( Asia/Katmandu)
99,AQM Putalisadak,104,71.11,2018-11-30 07:14:04 ( Asia/Katmandu)
100,AQM Putalisadak,100,68.43,2018-11-30 07:05:04 ( Asia/Katmandu)
101,AQM Putalisadak,99,67.76,2018-11-30 06:54:33 ( Asia/Katmandu)
102,AQM Putalisadak,93,63.73,2018-11-30 06:45:01 ( Asia/Katmandu)
103,AQM Putalisadak,98,67.09,2018-11-30 06:35:02 ( Asia/Katmandu)
104,AQM Putalisadak,97,66.42,2018-11-30 06:24:33 ( Asia/Katmandu)
105,AQM Putalisadak,84,57.7,2018-11-30 06:15:03 ( Asia/Katmandu)
106,AQM Putalisadak,82,56.36,2018-11-30 06:05:01 ( Asia/Katmandu)
107,AQM Putalisadak,82,56.36,2018-11-30 05:55:30 ( Asia/Katmandu)
108,AQM Putalisadak,91,62.39,2018-11-30 05:44:59 ( Asia/Katmandu)
109,AQM Putalisadak,80,55.01,2018-11-30 05:35:00 ( Asia/Katmandu)
110,AQM Putalisadak,80,55.01,2018-11-30 05:25:00 ( Asia/Katmandu)
111,AQM Putalisadak,84,57.7,2018-11-30 05:14:59 ( Asia/Katmandu)
112,AQM Putalisadak,87,59.71,2018-11-30 05:04:32 ( Asia/Katmandu)
113,AQM Putalisadak,84,57.7,2018-11-30 04:54:29 ( Asia/Katmandu)
114,AQM Putalisadak,96,65.75,2018-11-30 04:44:58 ( Asia/Katmandu)
115,AQM Putalisadak,81,55.68,2018-11-30 04:34:57 ( Asia/Katmandu)
116,AQM Putalisadak,75,51.66,2018-11-30 04:25:27 ( Asia/Katmandu)
117,AQM Putalisadak,71,48.98,2018-11-30 04:14:57 ( Asia/Katmandu)
118,AQM Putalisadak,75,51.66,2018-11-30 04:04:56 ( Asia/Katmandu)
119,AQM Putalisadak,78,53.67,2018-11-30 03:55:28 ( Asia/Katmandu)
120,AQM Putalisadak,81,55.68,2018-11-30 03:44:58 ( Asia/Katmandu)
121,AQM Putalisadak,85,58.37,2018-11-30 03:34:55 ( Asia/Katmandu)
122,AQM Putalisadak,82,56.36,2018-11-30 03:24:55 ( Asia/Katmandu)
123,AQM Putalisadak,88,60.38,2018-11-30 03:14:55 ( Asia/Katmandu)
124,AQM Putalisadak,75,51.66,2018-11-30 03:04:54 ( Asia/Katmandu)
125,AQM Putalisadak,82,56.36,2018-11-30 02:54:54 ( Asia/Katmandu)
126,AQM Putalisadak,78,53.67,2018-11-30 02:44:54 ( Asia/Katmandu)
127,AQM Putalisadak,103,70.44,2018-11-30 02:34:53 ( Asia/Katmandu)
128,AQM Putalisadak,99,67.76,2018-11-30 02:24:53 ( Asia/Katmandu)
129,AQM Putalisadak,89,61.05,2018-11-30 02:14:53 ( Asia/Katmandu)
130,AQM Putalisadak,93,63.73,2018-11-30 02:04:53 ( Asia/Katmandu)
131,AQM Putalisadak,96,65.75,2018-11-30 01:54:53 ( Asia/Katmandu)
132,AQM Putalisadak,91,62.39,2018-11-30 01:44:52 ( Asia/Katmandu)
133,AQM Putalisadak,87,59.71,2018-11-30 01:34:52 ( Asia/Katmandu)
134,AQM Putalisadak,85,58.37,2018-11-30 01:24:51 ( Asia/Katmandu)
135,AQM Putalisadak,90,61.72,2018-11-30 01:14:51 ( Asia/Katmandu)
136,AQM Putalisadak,94,64.4,2018-11-30 01:05:21 ( Asia/Katmandu)
137,AQM Putalisadak,105,71.78,2018-11-30 00:54:51 ( Asia/Katmandu)
138,AQM Putalisadak,106,72.45,2018-11-30 00:45:20 ( Asia/Katmandu)
139,AQM Putalisadak,88,60.38,2018-11-30 00:35:20 ( Asia/Katmandu)
140,AQM Putalisadak,94,64.4,2018-11-30 00:25:20 ( Asia/Katmandu)
141,AQM Putalisadak,101,69.1,2018-11-30 00:15:20 ( Asia/Katmandu)
142,AQM Putalisadak,105,71.78,2018-11-30 00:05:22 ( Asia/Katmandu)
143,AQM Putalisadak,105,71.78,2018-11-29 23:55:19 ( Asia/Katmandu)
144,AQM Putalisadak,105,71.78,2018-11-29 23:44:50 ( Asia/Katmandu)
145,AQM Putalisadak,120,81.84,2018-11-29 23:34:48 ( Asia/Katmandu)
146,AQM Putalisadak,107,73.12,2018-11-29 23:25:19 ( Asia/Katmandu)
147,AQM Putalisadak,103,70.44,2018-11-29 23:14:18 ( Asia/Katmandu)
148,AQM Putalisadak,94,64.4,2018-11-29 23:05:18 ( Asia/Katmandu)
149,AQM Putalisadak,87,59.71,2018-11-29 22:55:15 ( Asia/Katmandu)
150,AQM Putalisadak,99,67.76,2018-11-29 22:44:45 ( Asia/Katmandu)
151,AQM Putalisadak,93,63.73,2018-11-29 22:34:44 ( Asia/Katmandu)
152,AQM Putalisadak,113,77.15,2018-11-29 22:15:19 ( Asia/Katmandu)
153,AQM Putalisadak,117,79.83,2018-11-29 22:05:13 ( Asia/Katmandu)
154,AQM Putalisadak,116,79.16,2018-11-29 21:55:12 ( Asia/Katmandu)
155,AQM Putalisadak,118,80.5,2018-11-29 21:45:14 ( Asia/Katmandu)
156,AQM Putalisadak,120,81.84,2018-11-29 21:35:25 ( Asia/Katmandu)
157,AQM Putalisadak,112,76.48,2018-11-29 21:24:56 ( Asia/Katmandu)
158,AQM Putalisadak,108,73.79,2018-11-29 21:15:05 ( Asia/Katmandu)
159,AQM Putalisadak,102,69.77,2018-11-29 20:56:21 ( Asia/Katmandu)
160,AQM Putalisadak,110,75.13,2018-11-29 20:54:21 ( Asia/Katmandu)
161,AQM Putalisadak,112,76.48,2018-11-29 20:45:02 ( Asia/Katmandu)
162,AQM Putalisadak,127,86.54,2018-11-29 20:34:38 ( Asia/Katmandu)
163,AQM Putalisadak,130,88.55,2018-11-29 20:25:33 ( Asia/Katmandu)
164,AQM Putalisadak,120,81.84,2018-11-29 20:14:19 ( Asia/Katmandu)
165,AQM Putalisadak,102,69.77,2018-11-29 20:05:56 ( Asia/Katmandu)
166,AQM Putalisadak,86,59.04,2018-11-29 19:44:31 ( Asia/Katmandu)
167,AQM Putalisadak,83,57.03,2018-11-29 19:32:41 ( Asia/Katmandu)
168,AQM Putalisadak,91,62.39,2018-11-29 19:24:47 ( Asia/Katmandu)
169,AQM Putalisadak,93,63.73,2018-11-29 19:13:15 ( Asia/Katmandu)
170,AQM Putalisadak,95,65.07,2018-11-29 19:04:39 ( Asia/Katmandu)
171,AQM Putalisadak,77,53,2018-11-29 18:55:15 ( Asia/Katmandu)
172,AQM Putalisadak,83,57.03,2018-11-29 18:44:43 ( Asia/Katmandu)
173,AQM Putalisadak,90,61.72,2018-11-29 18:33:10 ( Asia/Katmandu)
174,AQM Putalisadak,62,42.94,2018-11-29 18:24:10 ( Asia/Katmandu)
175,AQM Putalisadak,55,38.25,2018-11-29 18:14:20 ( Asia/Katmandu)
176,AQM Putalisadak,61,42.27,2018-11-29 18:04:55 ( Asia/Katmandu)
177,AQM Putalisadak,64,44.28,2018-11-29 17:55:23 ( Asia/Katmandu)
178,AQM Putalisadak,57,39.59,2018-11-29 17:45:21 ( Asia/Katmandu)
179,AQM Putalisadak,73,50.32,2018-11-29 17:34:59 ( Asia/Katmandu)
180,AQM Putalisadak,59,40.93,2018-11-29 17:25:02 ( Asia/Katmandu)
181,AQM Putalisadak,63,43.61,2018-11-29 17:14:59 ( Asia/Katmandu)
182,AQM Putalisadak,70,48.31,2018-11-29 17:05:05 ( Asia/Katmandu)
183,AQM Putalisadak,58,40.26,2018-11-29 16:54:04 ( Asia/Katmandu)
184,AQM Putalisadak,53,36.91,2018-11-29 16:45:29 ( Asia/Katmandu)
185,AQM Putalisadak,55,38.25,2018-11-29 16:35:32 ( Asia/Katmandu)
186,AQM Putalisadak,54,37.58,2018-11-29 16:25:29 ( Asia/Katmandu)
187,AQM Putalisadak,44,30.87,2018-11-29 16:14:33 ( Asia/Katmandu)
188,AQM Putalisadak,49,34.22,2018-11-29 16:04:28 ( Asia/Katmandu)
189,AQM Putalisadak,48,33.55,2018-11-29 15:54:21 ( Asia/Katmandu)
190,AQM Putalisadak,43,30.2,2018-11-29 15:45:30 ( Asia/Katmandu)
191,AQM Putalisadak,38,26.85,2018-11-29 15:34:34 ( Asia/Katmandu)
192,AQM Putalisadak,38,26.85,2018-11-29 15:24:31 ( Asia/Katmandu)
193,AQM Putalisadak,37,26.17,2018-11-29 15:14:02 ( Asia/Katmandu)
194,AQM Putalisadak,42,29.53,2018-11-29 15:04:05 ( Asia/Katmandu)
195,AQM Putalisadak,40,28.19,2018-11-29 14:54:30 ( Asia/Katmandu)
196,AQM Putalisadak,41,28.86,2018-11-29 14:44:45 ( Asia/Katmandu)
197,AQM Putalisadak,40,28.19,2018-11-29 14:34:14 ( Asia/Katmandu)
198,AQM Putalisadak,38,26.85,2018-11-29 14:25:12 ( Asia/Katmandu)
199,AQM Putalisadak,42,29.53,2018-11-29 14:15:08 ( Asia/Katmandu)
200,AQM Putalisadak,38,26.85,2018-11-29 14:05:08 ( Asia/Katmandu)
201,AQM Putalisadak,34,24.16,2018-11-29 13:54:51 ( Asia/Katmandu)
202,AQM Putalisadak,36,25.5,2018-11-29 13:45:02 ( Asia/Katmandu)
203,AQM Putalisadak,42,29.53,2018-11-29 13:34:35 ( Asia/Katmandu)
204,AQM Putalisadak,52,36.23,2018-11-29 13:24:39 ( Asia/Katmandu)
205,AQM Putalisadak,67,46.3,2018-11-29 13:14:37 ( Asia/Katmandu)
206,AQM Putalisadak,77,53,2018-11-29 13:05:22 ( Asia/Katmandu)
207,AQM Putalisadak,72,49.65,2018-11-29 12:54:24 ( Asia/Katmandu)
208,AQM Putalisadak,85,58.37,2018-11-29 12:44:24 ( Asia/Katmandu)
209,AQM Putalisadak,85,58.37,2018-11-29 12:35:24 ( Asia/Katmandu)
210,AQM Putalisadak,88,60.38,2018-11-29 12:25:24 ( Asia/Katmandu)
211,AQM Putalisadak,79,54.34,2018-11-29 12:14:25 ( Asia/Katmandu)
212,AQM Putalisadak,102,69.77,2018-11-29 12:04:21 ( Asia/Katmandu)
213,AQM Putalisadak,85,58.37,2018-11-29 11:52:44 ( Asia/Katmandu)
214,AQM Putalisadak,87,59.71,2018-11-29 11:45:14 ( Asia/Katmandu)
215,AQM Putalisadak,80,55.01,2018-11-29 11:33:55 ( Asia/Katmandu)
216,AQM Putalisadak,118,80.5,2018-11-29 11:24:59 ( Asia/Katmandu)
217,AQM Putalisadak,115,78.49,2018-11-29 11:14:28 ( Asia/Katmandu)
218,AQM Putalisadak,107,73.12,2018-11-29 11:05:25 ( Asia/Katmandu)
219,AQM Putalisadak,105,71.78,2018-11-29 10:54:21 ( Asia/Katmandu)
220,AQM Putalisadak,109,74.46,2018-11-29 10:45:20 ( Asia/Katmandu)
221,AQM Putalisadak,129,87.88,2018-11-29 10:35:23 ( Asia/Katmandu)
222,AQM Putalisadak,119,81.17,2018-11-29 10:24:31 ( Asia/Katmandu)
223,AQM Putalisadak,152,103.3,2018-11-29 10:14:33 ( Asia/Katmandu)
224,AQM Putalisadak,165,112.02,2018-11-29 10:05:19 ( Asia/Katmandu)
225,AQM Putalisadak,168,114.04,2018-11-29 09:54:48 ( Asia/Katmandu)
226,AQM Putalisadak,157,106.66,2018-11-29 09:44:50 ( Asia/Katmandu)
227,AQM Putalisadak,178,120.74,2018-11-29 09:35:18 ( Asia/Katmandu)
228,AQM Putalisadak,171,116.05,2018-11-29 09:24:47 ( Asia/Katmandu)
229,AQM Putalisadak,177,120.07,2018-11-29 09:15:17 ( Asia/Katmandu)
230,AQM Putalisadak,193,130.8,2018-11-29 09:03:02 ( Asia/Katmandu)
231,AQM Putalisadak,176,119.4,2018-11-29 08:53:02 ( Asia/Katmandu)
232,AQM Putalisadak,181,122.75,2018-11-29 08:45:02 ( Asia/Katmandu)
233,AQM Putalisadak,160,108.67,2018-11-29 08:35:01 ( Asia/Katmandu)
234,AQM Putalisadak,164,111.35,2018-11-29 08:25:01 ( Asia/Katmandu)
235,AQM Putalisadak,143,97.27,2018-11-29 08:13:55 ( Asia/Katmandu)
236,AQM Putalisadak,154,104.65,2018-11-29 08:05:25 ( Asia/Katmandu)
237,AQM Putalisadak,142,96.6,2018-11-29 07:54:23 ( Asia/Katmandu)
238,AQM Putalisadak,142,96.6,2018-11-29 07:44:19 ( Asia/Katmandu)
239,AQM Putalisadak,146,99.28,2018-11-29 07:34:50 ( Asia/Katmandu)
240,AQM Putalisadak,125,85.2,2018-11-29 07:24:18 ( Asia/Katmandu)
241,AQM Putalisadak,158,107.33,2018-11-29 07:15:15 ( Asia/Katmandu)
242,AQM Putalisadak,142,96.6,2018-11-29 07:05:14 ( Asia/Katmandu)
243,AQM Putalisadak,113,77.15,2018-11-29 06:55:21 ( Asia/Katmandu)
244,AQM Putalisadak,127,86.54,2018-11-29 06:45:16 ( Asia/Katmandu)
245,AQM Putalisadak,119,81.17,2018-11-29 06:35:13 ( Asia/Katmandu)
246,AQM Putalisadak,138,93.91,2018-11-29 06:25:10 ( Asia/Katmandu)
